Combined Adjusted Actual Income,1 Child,2 Children,3 Children,4 Children,5 Children,6 or More Children
8750,1259,1787,2137,2386,2625,2854
8800,1263,1792,2142,2392,2632,2860
8850,1267,1797,2147,2398,2638,2867
8900,1270,1801,2152,2404,2644,2874
8950,1274,1806,2157,2410,2651,2881
9000,1278,1811,2162,2415,2657,2888
9050,1282,1816,2168,2421,2663,2895
9100,1286,1820,2173,2427,2670,2902
9150,1290,1825,2178,2433,2676,2909
9200,1294,1830,2183,2439,2682,2916
9250,1298,1834,2188,2444,2689,2923
9300,1301,1839,2194,2450,2695,2930
9350,1305,1844,2199,2456,2702,2937
9400,1309,1848,2204,2462,2708,2944
9450,1312,1852,2209,2467,2714,2950
9500,1315,1855,2213,2472,2719,2956
9550,1318,1857,2217,2477,2725,2962
9600,1321,1860,2222,2482,2730,2967
9650,1324,1862,2226,2487,2735,2973
9700,1327,1865,2231,2492,2741,2979
9750,1330,1868,2235,2496,2746,2985
9800,1333,1870,2239,2501,2752,2991
9850,1336,1873,2244,2506,2757,2997
9900,1339,1875,2248,2511,2762,3003
9950,1342,1878,2253,2516,2768,3008
10000,1345,1881,2257,2521,2773,3014
10050,1353,1892,2269,2534,2788,3030
10100,1361,1903,2281,2548,2802,3046
10150,1369,1915,2293,2561,2817,3062
10200,1377,1926,2305,2574,2832,3078
10250,1385,1937,2317,2588,2847,3094
10300,1393,1949,2329,2601,2861,3110
10350,1402,1960,2341,2615,2876,3126
10400,1410,1971,2353,2628,2891,3142
10450,1418,1983,2365,2641,2905,3158
10500,1426,1994,2377,2655,2920,3174
10550,1434,2005,2389,2668,2935,3190
10600,1442,2017,2401,2681,2950,3206
10650,1451,2028,2413,2695,2964,3222
10700,1459,2040,2424,2708,2979,3238
10750,1467,2051,2436,2722,2994,3254
10800,1475,2062,2448,2735,3008,3270
10850,1483,2074,2460,2748,3023,3286
10900,1491,2085,2472,2762,3038,3302
10950,1499,2096,2484,2775,3053,3318
11000,1508,2108,2496,2788,3067,3334
11050,1516,2119,2508,2802,3082,3350
11100,1524,2130,2520,2815,3097,3366
11150,1532,2142,2532,2828,3111,3382
11200,1540,2153,2544,2842,3126,3398
11250,1548,2164,2556,2855,3141,3414
11300,1556,2176,2568,2869,3155,3430
11350,1565,2187,2580,2882,3170,3446
11400,1573,2198,2592,2895,3185,3462
11450,1581,2210,2604,2909,3200,3478
11500,1589,2221,2616,2922,3214,3494
11550,1597,2232,2628,2935,3229,3510
11600,1605,2244,2640,2949,3244,3526
11650,1614,2255,2652,2962,3258,3542
11700,1622,2266,2664,2976,3273,3558
11750,1630,2278,2676,2989,3288,3574
11800,1638,2289,2688,3002,3303,3590
11850,1646,2300,2700,3016,3317,3606
11900,1654,2312,2712,3029,3332,3622
11950,1662,2323,2724,3042,3347,3638
12000,1671,2335,2736,3056,3361,3654
12050,1679,2346,2748,3069,3376,3670
12100,1687,2357,2760,3083,3391,3686
12150,1695,2369,2772,3096,3405,3702
12200,1703,2380,2784,3109,3420,3718
12250,1711,2391,2796,3123,3435,3734
12300,1719,2403,2808,3136,3450,3750
12350,1728,2414,2819,3149,3464,3766
12400,1736,2425,2831,3163,3479,3782
12450,1744,2437,2843,3176,3494,3798
12500,1752,2448,2855,3189,3508,3814
12550,1760,2459,2867,3203,3523,3830
12600,1768,2471,2879,3216,3538,3846
12650,1777,2482,2891,3230,3553,3862
12700,1785,2493,2903,3243,3567,3878
12750,1793,2505,2915,3256,3582,3894
12800,1801,2516,2927,3270,3597,3910
12850,1809,2527,2939,3283,3611,3926
12900,1817,2539,2951,3296,3626,3942
12950,1825,2550,2963,3310,3641,3958
13000,1834,2561,2975,3323,3656,3974
13050,1842,2573,2987,3337,3670,3990
13100,1850,2584,2999,3350,3685,4006
13150,1858,2596,3011,3363,3700,4022
13200,1866,2607,3023,3377,3714,4037
13250,1874,2618,3035,3390,3729,4053
13300,1882,2630,3047,3403,3744,4069
13350,1891,2641,3059,3417,3758,4085
13400,1899,2652,3071,3430,3773,4101
13450,1907,2664,3083,3444,3788,4117
13500,1915,2675,3095,3457,3803,4133
13550,1923,2686,3107,3470,3817,4149
13600,1931,2698,3119,3484,3832,4165
13650,1939,2709,3131,3497,3847,4181
13700,1948,2720,3143,3510,3861,4197
13750,1956,2732,3155,3524,3876,4213
13800,1964,2743,3167,3537,3891,4229
13850,1972,2754,3179,3550,3906,4245
13900,1980,2766,3191,3564,3920,4261
13950,1988,2777,3203,3577,3935,4277
14000,1997,2788,3215,3591,3950,4293
14050,2005,2800,3226,3604,3964,4309
14100,2013,2811,3238,3617,3979,4325
14150,2021,2822,3250,3631,3994,4341
14200,2029,2834,3262,3644,4009,4357
14250,2037,2845,3274,3657,4023,4373
14300,2045,2856,3286,3671,4038,4389
14350,2054,2868,3298,3684,4053,4405
14400,2062,2879,3310,3698,4067,4421
14450,2070,2891,3322,3711,4082,4437
14500,2078,2902,3334,3724,4097,4453
14550,2086,2913,3346,3738,4111,4469
14600,2094,2925,3358,3751,4126,4485
14650,2102,2936,3370,3764,4141,4501
14700,2111,2947,3382,3778,4156,4517
14750,2119,2959,3394,3791,4170,4533
14800,2127,2970,3406,3805,4185,4549
14850,2135,2981,3418,3818,4200,4565
14900,2143,2993,3430,3831,4214,4581
14950,2151,3004,3442,3845,4229,4597
15000,2160,3015,3454,3858,4244,4613
15050,2163,3021,3460,3865,4251,4621
15100,2166,3026,3466,3871,4259,4629
15150,2170,3031,3472,3878,4266,4637
15200,2173,3036,3478,3885,4273,4645
15250,2176,3042,3484,3892,4281,4653
15300,2180,3047,3490,3898,4288,4661
15350,2183,3052,3496,3905,4295,4669
15400,2186,3057,3502,3912,4303,4677
15450,2190,3063,3508,3918,4310,4685
15500,2193,3068,3514,3925,4318,4693
15550,2196,3073,3520,3932,4325,4701
15600,2200,3079,3526,3939,4332,4709
15650,2203,3084,3532,3945,4340,4717
15700,2206,3089,3538,3952,4347,4725
15750,2210,3094,3544,3959,4355,4733
15800,2213,3100,3550,3965,4362,4741
15850,2216,3105,3556,3972,4369,4749
15900,2220,3110,3562,3979,4377,4757
15950,2223,3115,3568,3986,4384,4765
16000,2226,3121,3574,3992,4391,4773
16050,2230,3126,3580,3999,4399,4782
16100,2233,3131,3586,4006,4406,4790
16150,2236,3137,3592,4012,4414,4798
16200,2240,3142,3598,4019,4421,4806
16250,2243,3147,3604,4026,4428,4814
16300,2247,3152,3610,4032,4436,4822
16350,2250,3158,3616,4039,4443,4830
16400,2253,3163,3622,4046,4450,4838
16450,2257,3168,3628,4053,4458,4846
16500,2260,3173,3634,4059,4465,4854
16550,2263,3179,3640,4066,4473,4862
16600,2267,3184,3646,4073,4480,4870
16650,2270,3189,3652,4079,4487,4878
16700,2273,3194,3658,4086,4495,4886
16750,2277,3200,3664,4093,4502,4894
16800,2280,3205,3670,4100,4510,4902
16850,2283,3210,3676,4106,4517,4910
16900,2287,3216,3682,4113,4524,4918
16950,2290,3221,3688,4120,4532,4926
17000,2293,3226,3694,4126,4539,4934
17050,2297,3231,3700,4133,4546,4942
17100,2300,3237,3706,4140,4554,4950
17150,2303,3242,3712,4147,4561,4958
17200,2307,3247,3718,4153,4569,4966
17250,2310,3252,3724,4160,4576,4974
17300,2313,3258,3730,4167,4583,4982
17350,2317,3263,3736,4173,4591,4990
17400,2320,3268,3742,4180,4598,4998
17450,2323,3274,3748,4187,4605,5006
17500,2327,3279,3754,4193,4613,5014
17550,2330,3284,3760,4200,4620,5022
17600,2334,3289,3766,4207,4628,5030
17650,2337,3295,3772,4214,4635,5038
17700,2340,3300,3778,4220,4642,5046
17750,2344,3305,3784,4227,4650,5054
17800,2347,3310,3790,4234,4657,5062
17850,2350,3316,3796,4240,4665,5070
17900,2354,3321,3802,4247,4672,5078
17950,2357,3326,3808,4254,4679,5086
18000,2360,3331,3814,4261,4687,5094
18050,2364,3337,3820,4267,4694,5102
18100,2367,3342,3826,4274,4701,5110
18150,2370,3347,3832,4281,4709,5118
18200,2374,3353,3838,4287,4716,5126
18250,2377,3358,3844,4294,4724,5135
18300,2380,3363,3850,4301,4731,5143
18350,2384,3368,3856,4308,4738,5151
18400,2387,3374,3862,4314,4746,5159
18450,2390,3379,3868,4321,4753,5167
18500,2394,3384,3874,4328,4760,5175
18550,2397,3389,3880,4334,4768,5183
18600,2400,3395,3886,4341,4775,5191
18650,2404,3400,3892,4348,4783,5199
18700,2407,3405,3898,4355,4790,5207
18750,2410,3411,3904,4361,4797,5215
18800,2414,3416,3910,4368,4805,5223
18850,2417,3421,3916,4375,4812,5231
18900,2420,3426,3922,4381,4820,5239
18950,2424,3432,3928,4388,4827,5247
19000,2427,3437,3934,4395,4834,5255
19050,2431,3442,3940,4401,4842,5263
19100,2434,3447,3946,4408,4849,5271
19150,2437,3453,3952,4415,4856,5279
19200,2441,3458,3958,4422,4864,5287
19250,2444,3463,3964,4428,4871,5295
19300,2447,3468,3970,4435,4879,5303
19350,2451,3474,3977,4442,4886,5311
19400,2454,3479,3983,4448,4893,5319
19450,2457,3484,3989,4455,4901,5327
19500,2461,3490,3995,4462,4908,5335
19550,2464,3495,4001,4469,4915,5343
19600,2467,3500,4007,4475,4923,5351
19650,2471,3505,4013,4482,4930,5359
19700,2474,3511,4019,4489,4938,5367
19750,2477,3516,4025,4495,4945,5375
19800,2481,3521,4031,4502,4952,5383
19850,2484,3526,4037,4509,4960,5391
19900,2487,3532,4043,4516,4967,5399
19950,2491,3537,4049,4522,4974,5407
20000,2494,3542,4055,4529,4982,5415
20050,2497,3548,4061,4536,4989,5423
20100,2501,3553,4067,4542,4997,5431
20150,2504,3558,4073,4549,5004,5439
20200,2507,3563,4079,4556,5011,5447
20250,2511,3569,4085,4563,5019,5455
20300,2514,3574,4091,4569,5026,5463
20350,2518,3579,4097,4576,5034,5471
20400,2521,3584,4103,4583,5041,5479
20450,2524,3590,4109,4589,5048,5488
20500,2528,3595,4115,4596,5056,5496
20550,2531,3600,4121,4603,5063,5504
20600,2534,3605,4127,4609,5070,5512
20650,2538,3611,4133,4616,5078,5520
20700,2541,3616,4139,4623,5085,5528
20750,2544,3621,4145,4630,5093,5536
20800,2548,3627,4151,4636,5100,5544
20850,2551,3632,4157,4643,5107,5552
20900,2554,3637,4163,4650,5115,5560
20950,2558,3642,4169,4656,5122,5568
21000,2561,3648,4175,4663,5129,5576
21050,2564,3653,4181,4670,5137,5584
21100,2568,3658,4187,4677,5144,5592
21150,2571,3663,4193,4683,5152,5600
21200,2574,3669,4199,4690,5159,5608
21250,2578,3674,4205,4697,5166,5616
21300,2581,3679,4211,4703,5174,5624
21350,2584,3685,4217,4710,5181,5632
21400,2588,3690,4223,4717,5189,5640
21450,2591,3695,4229,4724,5196,5648
21500,2594,3700,4235,4730,5203,5656
21550,2598,3706,4241,4737,5211,5664
21600,2601,3711,4247,4744,5218,5672
21650,2605,3716,4253,4750,5225,5680
21700,2608,3721,4259,4757,5233,5688
21750,2611,3727,4265,4764,5240,5696
21800,2615,3732,4271,4771,5248,5704
21850,2618,3737,4277,4777,5255,5712
21900,2621,3742,4283,4784,5262,5720
21950,2625,3748,4289,4791,5270,5728
22000,2628,3753,4295,4797,5277,5736
22050,2631,3758,4301,4804,5284,5744
22100,2635,3764,4307,4811,5292,5752
22150,2638,3769,4313,4817,5299,5760
22200,2641,3774,4319,4824,5307,5768
22250,2645,3779,4325,4831,5314,5776
22300,2648,3785,4331,4838,5321,5784
22350,2651,3790,4337,4844,5329,5792
22400,2655,3795,4343,4851,5336,5800
22450,2658,3800,4349,4858,5344,5808
22500,2661,3806,4355,4864,5351,5816
22550,2665,3811,4361,4871,5358,5824
22600,2668,3816,4367,4878,5366,5832
22650,2671,3822,4373,4885,5373,5840
22700,2675,3827,4379,4891,5380,5849
22750,2678,3832,4385,4898,5388,5857
22800,2681,3837,4391,4905,5395,5865
22850,2685,3843,4397,4911,5403,5873
22900,2688,3848,4403,4918,5410,5881
22950,2692,3853,4409,4925,5417,5889
23000,2695,3858,4415,4932,5425,5897
23050,2698,3864,4421,4938,5432,5905
23100,2702,3869,4427,4945,5439,5913
23150,2705,3874,4433,4952,5447,5921
23200,2708,3879,4439,4958,5454,5929
23250,2712,3885,4445,4965,5462,5937
23300,2715,3890,4451,4972,5469,5945
23350,2718,3895,4457,4979,5476,5953
23400,2722,3901,4463,4985,5484,5961
23450,2725,3906,4469,4992,5491,5969
23500,2728,3911,4475,4999,5499,5977
23550,2732,3916,4481,5005,5506,5985
23600,2735,3922,4487,5012,5513,5993
23650,2738,3927,4493,5019,5521,6001
23700,2742,3932,4499,5025,5528,6009
23750,2745,3937,4505,5032,5535,6017
23800,2748,3943,4511,5039,5543,6025
23850,2752,3948,4517,5046,5550,6033
23900,2755,3953,4523,5052,5558,6041
23950,2758,3959,4529,5059,5565,6049
24000,2762,3964,4535,5066,5572,6057
24050,2765,3969,4541,5072,5580,6065
24100,2768,3974,4547,5079,5587,6073
24150,2772,3980,4553,5086,5594,6081
24200,2775,3985,4559,5093,5602,6089
24250,2779,3990,4565,5099,5609,6097
24300,2782,3995,4571,5106,5617,6105
24350,2785,4001,4577,5113,5624,6113
24400,2789,4006,4583,5119,5631,6121
24450,2792,4011,4589,5126,5639,6129
24500,2795,4016,4595,5133,5646,6137
24550,2799,4022,4601,5140,5654,6145
24600,2802,4027,4607,5146,5661,6153
24650,2805,4032,4613,5153,5668,6161
24700,2809,4038,4619,5160,5676,6169
24750,2812,4043,4625,5166,5683,6177
24800,2815,4048,4631,5173,5690,6185
24850,2819,4053,4637,5180,5698,6193
24900,2822,4059,4643,5187,5705,6202
24950,2825,4064,4649,5193,5713,6210
25000,2829,4069,4655,5200,5720,6218
25050,2832,4074,4661,5207,5727,6226
25100,2835,4080,4667,5213,5735,6234
25150,2839,4085,4673,5220,5742,6242
25200,2842,4090,4679,5227,5749,6250
25250,2845,4096,4685,5233,5757,6258
25300,2849,4101,4691,5240,5764,6266
25350,2852,4106,4697,5247,5772,6274
25400,2855,4111,4703,5254,5779,6282
25450,2859,4117,4709,5260,5786,6290
25500,2862,4122,4715,5267,5794,6298
25550,2865,4127,4721,5274,5801,6306
25600,2869,4132,4727,5280,5808,6314
25650,2872,4138,4733,5287,5816,6322
25700,2876,4143,4739,5294,5823,6330
25750,2879,4148,4745,5301,5831,6338
25800,2882,4153,4751,5307,5838,6346
25850,2886,4159,4757,5314,5845,6354
25900,2889,4164,4763,5321,5853,6362
25950,2892,4169,4769,5327,5860,6370
26000,2896,4175,4775,5334,5868,6378
26050,2899,4180,4781,5341,5875,6386
26100,2902,4185,4787,5348,5882,6394
26150,2906,4190,4793,5354,5890,6402
26200,2909,4196,4799,5361,5897,6410
26250,2912,4201,4805,5368,5904,6418
26300,2916,4206,4811,5374,5912,6426
26350,2919,4211,4817,5381,5919,6434
26400,2922,4217,4823,5388,5927,6442
26450,2926,4222,4829,5395,5934,6450
26500,2929,4227,4835,5401,5941,6458
26550,2932,4233,4841,5408,5949,6466
26600,2936,4238,4847,5415,5956,6474
26650,2939,4243,4853,5421,5963,6482
26700,2942,4248,4859,5428,5971,6490
26750,2946,4254,4866,5435,5978,6498
26800,2949,4259,4872,5441,5986,6506
26850,2952,4264,4878,5448,5993,6514
26900,2956,4269,4884,5455,6000,6522
26950,2959,4275,4890,5462,6008,6530
27000,2963,4280,4896,5468,6015,6538
27050,2966,4285,4902,5475,6023,6546
27100,2969,4290,4908,5482,6030,6555
27150,2973,4296,4914,5488,6037,6563
27200,2976,4301,4920,5495,6045,6571
27250,2979,4306,4926,5502,6052,6579
27300,2983,4312,4932,5509,6059,6587
27350,2986,4317,4938,5515,6067,6595
27400,2989,4322,4944,5522,6074,6603
27450,2993,4327,4950,5529,6082,6611
27500,2996,4333,4956,5535,6089,6619
27550,2999,4338,4962,5542,6096,6627
27600,3003,4343,4968,5549,6104,6635
27650,3006,4348,4974,5556,6111,6643
27700,3009,4354,4980,5562,6118,6651
27750,3013,4359,4986,5569,6126,6659
27800,3016,4364,4992,5576,6133,6667
27850,3019,4369,4998,5582,6141,6675
27900,3023,4375,5004,5589,6148,6683
27950,3026,4380,5010,5596,6155,6691
28000,3029,4385,5016,5603,6163,6699
28050,3033,4391,5022,5609,6170,6707
28100,3036,4396,5028,5616,6178,6715
28150,3039,4401,5034,5623,6185,6723
28200,3043,4406,5040,5629,6192,6731
28250,3046,4412,5046,5636,6200,6739
28300,3050,4417,5052,5643,6207,6747
28350,3053,4422,5058,5649,6214,6755
28400,3056,4427,5064,5656,6222,6763
28450,3060,4433,5070,5663,6229,6771
28500,3063,4438,5076,5670,6237,6779
28550,3066,4443,5082,5676,6244,6787
28600,3070,4449,5088,5683,6251,6795
28650,3073,4454,5094,5690,6259,6803
28700,3076,4459,5100,5696,6266,6811
28750,3080,4464,5106,5703,6273,6819
28800,3083,4470,5112,5710,6281,6827
28850,3086,4475,5118,5717,6288,6835
28900,3090,4480,5124,5723,6296,6843
28950,3093,4485,5130,5730,6303,6851
29000,3096,4491,5136,5737,6310,6859
29050,3100,4496,5142,5743,6318,6867
29100,3103,4501,5148,5750,6325,6875
29150,3106,4506,5154,5757,6333,6883
29200,3110,4512,5160,5764,6340,6891
29250,3113,4517,5166,5770,6347,6899
29300,3116,4522,5172,5777,6355,6908
29350,3120,4528,5178,5784,6362,6916
29400,3123,4533,5184,5790,6369,6924
29450,3126,4538,5190,5797,6377,6932
29500,3130,4543,5196,5804,6384,6940
29550,3133,4549,5202,5811,6392,6948
29600,3137,4554,5208,5817,6399,6956
29650,3140,4559,5214,5824,6406,6964
29700,3143,4564,5220,5831,6414,6972
29750,3147,4570,5226,5837,6421,6980
29800,3150,4575,5232,5844,6428,6988
29850,3153,4580,5238,5851,6436,6996
29900,3157,4586,5244,5857,6443,7004
29950,3160,4591,5250,5864,6451,7012
30000,3163,4596,5256,5871,6458,7020
